date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:05	136289/136289	---M-Z	200	added ('OK')	text/html	etag:%2221461-620a364b-0;gz%22	https://kodesolution.com/html/2017/helpingpro-html/demo/index-mp-layout2.html	D:/Template/as/kodesolution.com/html/2017/helpingpro-html/demo/index-mp-layout2.html	(from )
15:54:06	70/70	---M--	200	added ('OK')	text/plain	etag:%2246-6209fe26-0;;;%22	https://kodesolution.com/robots.txt		(from )
15:54:06	3812/3812	---M--	200	added ('OK')	image/png	etag:%22ee4-620a364b-0;;;%22	https://kodesolution.com/html/2017/helpingpro-html/demo/images/favicon.png	D:/Template/as/kodesolution.com/html/2017/helpingpro-html/demo/images/favicon.png	(from https://kodesolution.com/html/2017/helpingpro-html/demo/index-mp-layout2.html)
15:54:07	7118/7118	---M--	200	added ('OK')	image/png	etag:%221bce-620a364b-0;;;%22	https://kodesolution.com/html/2017/helpingpro-html/demo/images/apple-touch-icon-72x72.png	D:/Template/as/kodesolution.com/html/2017/helpingpro-html/demo/images/apple-touch-icon-72x72.png	(from https://kodesolution.com/html/2017/helpingpro-html/demo/index-mp-layout2.html)
15:54:08	3812/3812	---M--	200	added ('OK')	image/png	etag:%22ee4-620a364b-0;;;%22	https://kodesolution.com/html/2017/helpingpro-html/demo/images/apple-touch-icon.png	D:/Template/as/kodesolution.com/html/2017/helpingpro-html/demo/images/apple-touch-icon.png	(from https://kodesolution.com/html/2017/helpingpro-html/demo/index-mp-layout2.html)
15:54:11	9686/9686	---M--	200	added ('OK')	image/png	etag:%2225d6-620a364b-0;;;%22	https://kodesolution.com/html/2017/helpingpro-html/demo/images/apple-touch-icon-114x114.png	D:/Template/as/kodesolution.com/html/2017/helpingpro-html/demo/images/apple-touch-icon-114x114.png	(from https://kodesolution.com/html/2017/helpingpro-html/demo/index-mp-layout2.html)
15:54:14	10064/10064	---M--	200	added ('OK')	image/png	etag:%222750-620a364b-0;;;%22	https://kodesolution.com/html/2017/helpingpro-html/demo/images/apple-touch-icon-144x144.png	D:/Template/as/kodesolution.com/html/2017/helpingpro-html/demo/images/apple-touch-icon-144x144.png	(from https://kodesolution.com/html/2017/helpingpro-html/demo/index-mp-layout2.html)
15:54:15	121260/121260	---M-Z	200	added ('OK')	text/css	etag:%221d9ac-620a364b-0;gz%22	https://kodesolution.com/html/2017/helpingpro-html/demo/css/bootstrap.min.css	D:/Template/as/kodesolution.com/html/2017/helpingpro-html/demo/css/bootstrap.min.css	(from https://kodesolution.com/html/2017/helpingpro-html/demo/index-mp-layout2.html)
15:54:15	29273/29273	---M-Z	200	added ('OK')	text/css	etag:%227259-620a364b-0;gz%22	https://kodesolution.com/html/2017/helpingpro-html/demo/css/jquery-ui.min.css	D:/Template/as/kodesolution.com/html/2017/helpingpro-html/demo/css/jquery-ui.min.css	(from https://kodesolution.com/html/2017/helpingpro-html/demo/index-mp-layout2.html)
15:54:16	84479/84479	---M-Z	200	added ('OK')	text/css	etag:%22149ff-620a364b-0;gz%22	https://kodesolution.com/html/2017/helpingpro-html/demo/css/animate.css	D:/Template/as/kodesolution.com/html/2017/helpingpro-html/demo/css/animate.css	(from https://kodesolution.com/html/2017/helpingpro-html/demo/index-mp-layout2.html)
15:54:18	256161/256161	---M-Z	200	added ('OK')	text/css	etag:%223e8a1-620a364b-0;gz%22	https://kodesolution.com/html/2017/helpingpro-html/demo/css/css-plugin-collections.css	D:/Template/as/kodesolution.com/html/2017/helpingpro-html/demo/css/css-plugin-collections.css	(from https://kodesolution.com/html/2017/helpingpro-html/demo/index-mp-layout2.html)
15:54:18	2350/2350	---M-Z	200	added ('OK')	text/css	etag:%2292e-620a364b-0;gz%22	https://kodesolution.com/html/2017/helpingpro-html/demo/css/menuzord-skins/menuzord-rounded-boxed.css	D:/Template/as/kodesolution.com/html/2017/helpingpro-html/demo/css/menuzord-skins/menuzord-rounded-boxed.css	(from https://kodesolution.com/html/2017/helpingpro-html/demo/index-mp-layout2.html)
15:54:20	60703/60703	---M-Z	200	added ('OK')	text/css	etag:%22ed1f-620a364b-0;gz%22	https://kodesolution.com/html/2017/helpingpro-html/demo/css/preloader.css	D:/Template/as/kodesolution.com/html/2017/helpingpro-html/demo/css/preloader.css	(from https://kodesolution.com/html/2017/helpingpro-html/demo/index-mp-layout2.html)
